2024-05-31 16:23:58.646 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-31 16:24:00.670 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 19 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.980 сек., синхр.=0.014 сек., всего=2.026 сек.; синхронизировано_файлов=14, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=15 kB, ожидалось=3724 kB; lsn=0/1A6DF80, lsn redo=0/1A6DF48
2024-05-31 16:28:58.694 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-31 16:28:59.436 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.538 сек., синхр.=0.019 сек., всего=0.743 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.016 сек., средняя=0.005 сек.; расстояние=7 kB, ожидалось=3352 kB; lsn=0/1A6FD90, lsn redo=0/1A6FD58
2024-05-31 21:48:59.040 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-31 21:49:01.034 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.344 сек., синхр.=0.006 сек., всего=1.996 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=6 kB, ожидалось=3018 kB; lsn=0/1A71760, lsn redo=0/1A71728
2024-05-31 22:03:59.098 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-31 22:03:59.449 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.007 сек., всего=0.351 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=9 kB, ожидалось=2717 kB; lsn=0/1A73C88, lsn redo=0/1A73C50
2024-05-31 22:33:59.479 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-31 22:34:00.063 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.548 сек., синхр.=0.018 сек., всего=0.585 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.014 сек., средняя=0.004 сек.; расстояние=11 kB, ожидалось=2446 kB; lsn=0/1A76C78, lsn redo=0/1A76C40
2024-05-31 23:23:59.145 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-31 23:24:00.188 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.934 сек., синхр.=0.078 сек., всего=1.043 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.063 сек., средняя=0.010 сек.; расстояние=21 kB, ожидалось=2204 kB; lsn=0/1A7C188, lsn redo=0/1A7C150
