2024-10-23 08:52:42.265 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 08:52:42.484 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.214 сек., синхр.=0.001 сек., всего=0.220 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=17 kB; lsn=0/1F87070, lsn redo=0/1F87038
2024-10-23 08:57:42.495 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 08:57:43.735 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.219 сек., синхр.=0.014 сек., всего=1.240 сек.; синхронизировано_файлов=25, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=36 kB, ожидалось=36 kB; lsn=0/1F90238, lsn redo=0/1F90200
2024-10-23 15:32:44.784 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 15:32:46.326 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 15 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.530 сек., синхр.=0.007 сек., всего=1.543 сек.; синхронизировано_файлов=11, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=4 kB, ожидалось=33 kB; lsn=0/1F912B8, lsn redo=0/1F91280
2024-10-23 17:37:44.467 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 17:37:45.247 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.769 сек., синхр.=0.006 сек., всего=0.780 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=30 kB; lsn=0/1F927B8, lsn redo=0/1F92780
2024-10-23 17:52:44.267 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 17:52:45.046 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.769 сек., синхр.=0.005 сек., всего=0.779 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=28 kB; lsn=0/1F94438, lsn redo=0/1F94400
2024-10-23 18:11:01.498 MSK [35412] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "candidate_portrait_vacancy_id_key"
2024-10-23 18:11:01.498 MSK [35412] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "(vacancy_id)=(3)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2024-10-23 18:11:01.498 MSK [35412] РћРџР•Р РђРўРћР :  INSERT INTO candidate_portrait (vacancy_id, ideal_candidate, demographics, qualities, skills) VALUES (3, 'To be specified', 'To be specified', 'To be specified', 'To be specified') RETURNING candidate_portrait.id
2024-10-23 18:12:44.066 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 18:12:44.403 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.330 сек., синхр.=0.003 сек., всего=0.338 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=25 kB; lsn=0/1F94A10, lsn redo=0/1F949D8
2024-10-23 18:30:38.052 MSK [31672] РћРЁРР‘РљРђ:  UPDATE РёР»Рё DELETE РІ С‚Р°Р±Р»РёС†Рµ "vacancies" РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ РІРЅРµС€РЅРµРіРѕ РєР»СЋС‡Р° "candidate_portrait_vacancy_id_fkey" С‚Р°Р±Р»РёС†С‹ "candidate_portrait"
2024-10-23 18:30:38.052 MSK [31672] РџРћР”Р РћР‘РќРћРЎРўР:  РќР° РєР»СЋС‡ (id)=(3) РІСЃС‘ РµС‰С‘ РµСЃС‚СЊ СЃСЃС‹Р»РєРё РІ С‚Р°Р±Р»РёС†Рµ "candidate_portrait".
2024-10-23 18:30:38.052 MSK [31672] РћРџР•Р РђРўРћР :  DELETE FROM vacancies WHERE vacancies.id = 3
2024-10-23 18:32:44.427 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 18:32:44.761 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.335 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=23 kB; lsn=0/1F964B8, lsn redo=0/1F96480
2024-10-23 18:57:44.809 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 18:57:45.589 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.770 сек., синхр.=0.005 сек., всего=0.780 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=22 kB; lsn=0/1F98A08, lsn redo=0/1F989D0
2024-10-23 19:02:44.603 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 19:02:45.821 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.208 сек., синхр.=0.006 сек., всего=1.219 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=33 kB, ожидалось=33 kB; lsn=0/1FA0E80, lsn redo=0/1FA0E48
2024-10-23 19:07:44.835 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-23 19:07:45.948 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.102 сек., синхр.=0.006 сек., всего=1.114 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=12 kB, ожидалось=31 kB; lsn=0/1FA41A8, lsn redo=0/1FA4170
2024-10-23 22:24:58.230 MSK [768] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-23 22:24:58.230 MSK [30744] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
