2024-10-21 11:47:19.073 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 11:49:04.607 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 969 (5.9%); добавлено файлов WAL 1, удалено: 0, переработано: 0; запись=105.348 сек., синхр.=0.158 сек., всего=105.534 сек.; синхронизировано_файлов=300, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=4578 kB, ожидалось=4578 kB; lsn=0/1F02C70, lsn redo=0/1EFF538
2024-10-21 15:52:19.950 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 15:52:28.137 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 76 (0.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=8.150 сек., синхр.=0.032 сек., всего=8.187 сек.; синхронизировано_файлов=58, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=276 kB, ожидалось=4148 kB; lsn=0/1F447E0, lsn redo=0/1F447A8
2024-10-21 15:54:52.202 MSK [20552] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-21 15:55:09.332 MSK [9508] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-21 19:11:04.138 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 19:11:06.428 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 21 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.278 сек., синхр.=0.007 сек., всего=2.290 сек.; синхронизировано_файлов=11, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=27 kB, ожидалось=3736 kB; lsn=0/1F4B470, lsn redo=0/1F4B438
2024-10-21 20:16:04.511 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 20:16:05.595 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.074 сек., синхр.=0.005 сек., всего=1.084 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=3362 kB; lsn=0/1F4BA28, lsn redo=0/1F4B9F0
2024-10-21 20:22:18.114 MSK [37884] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "candidate_portrait_vacancy_id_key"
2024-10-21 20:22:18.114 MSK [37884] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "(vacancy_id)=(1)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2024-10-21 20:22:18.114 MSK [37884] РћРџР•Р РђРўРћР :  INSERT INTO candidate_portrait (vacancy_id, ideal_candidate, demographics, qualities, skills) VALUES (1, 'РЈРјРЅС‹Р№', 'РџРѕР»', 'РЈРј', 'РЈРј') RETURNING candidate_portrait.id
2024-10-21 20:26:04.608 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 20:26:05.274 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.656 сек., синхр.=0.005 сек., всего=0.666 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=3026 kB; lsn=0/1F4BFC0, lsn redo=0/1F4BF88
2024-10-21 20:36:04.289 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 20:36:05.062 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.762 сек., синхр.=0.006 сек., всего=0.773 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=2723 kB; lsn=0/1F4C738, lsn redo=0/1F4C700
2024-10-21 20:41:04.066 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 20:41:04.832 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.757 сек., синхр.=0.005 сек., всего=0.767 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=2451 kB; lsn=0/1F4CF80, lsn redo=0/1F4CF48
2024-10-21 20:46:04.836 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 20:46:05.599 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.753 сек., синхр.=0.005 сек., всего=0.763 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=2206 kB; lsn=0/1F4D8C0, lsn redo=0/1F4D888
2024-10-21 20:51:04.604 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 20:51:05.375 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.761 сек., синхр.=0.005 сек., всего=0.771 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=1986 kB; lsn=0/1F4E2D0, lsn redo=0/1F4E298
2024-10-21 21:01:04.403 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 21:01:04.736 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.003 сек., всего=0.333 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=1787 kB; lsn=0/1F4E880, lsn redo=0/1F4E848
2024-10-21 21:11:04.745 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 21:11:05.071 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.319 сек., синхр.=0.003 сек., всего=0.327 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=1609 kB; lsn=0/1F4EE78, lsn redo=0/1F4EE40
2024-10-21 21:21:04.086 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 21:21:04.859 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.763 сек., синхр.=0.005 сек., всего=0.773 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=1448 kB; lsn=0/1F4F9E8, lsn redo=0/1F4F9B0
2024-10-21 21:26:04.871 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 21:26:05.636 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.756 сек., синхр.=0.005 сек., всего=0.766 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=1304 kB; lsn=0/1F50610, lsn redo=0/1F505D8
2024-10-21 21:36:04.655 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 21:36:05.424 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.759 сек., синхр.=0.005 сек., всего=0.770 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=1173 kB; lsn=0/1F51370, lsn redo=0/1F51338
2024-10-21 21:41:04.431 MSK [6308] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-21 21:41:05.199 MSK [6308] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.759 сек., синхр.=0.005 сек., всего=0.769 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=1057 kB; lsn=0/1F528F0, lsn redo=0/1F528B8
