2024-11-10 10:00:52.553 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 10:00:52.666 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.002 сек., всего=0.114 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=65 kB; lsn=0/20413C8, lsn redo=0/2041390
2024-11-10 10:05:52.673 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 10:05:52.783 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.002 сек., всего=0.110 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=59 kB; lsn=0/20417F8, lsn redo=0/20417C0
2024-11-10 10:10:52.789 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 10:10:52.902 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.002 сек., всего=0.113 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=53 kB; lsn=0/2041BD0, lsn redo=0/2041B98
2024-11-10 10:15:52.909 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 10:15:53.018 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.103 сек., синхр.=0.002 сек., всего=0.110 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=48 kB; lsn=0/2041FE8, lsn redo=0/2041FB0
2024-11-10 10:25:52.041 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 10:25:52.150 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.002 сек., всего=0.110 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=43 kB; lsn=0/2042440, lsn redo=0/2042408
2024-11-10 10:30:52.162 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 10:30:52.274 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.106 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=39 kB; lsn=0/2042970, lsn redo=0/2042938
2024-11-10 11:25:52.348 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 11:25:52.460 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=35 kB; lsn=0/2042FD0, lsn redo=0/2042F98
2024-11-10 11:30:52.461 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-10 11:30:52.573 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=32 kB; lsn=0/2043530, lsn redo=0/20434F8
