2024-12-13 15:09:01.327 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-13 15:09:01.439 MSK [7000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=2 kB; lsn=0/2165638, lsn redo=0/2165600
2024-12-13 15:44:01.481 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-13 15:44:02.466 MSK [7000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 10 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.974 сек., синхр.=0.007 сек., всего=0.985 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=18 kB, ожидалось=18 kB; lsn=0/216A0E0, lsn redo=0/216A0A8
2024-12-13 15:49:01.471 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-13 15:49:01.582 MSK [7000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=17 kB; lsn=0/216BCD0, lsn redo=0/216BC98
2024-12-13 16:09:01.625 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-13 16:09:01.846 MSK [7000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.214 сек., синхр.=0.003 сек., всего=0.222 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=16 kB; lsn=0/216C7D8, lsn redo=0/216C7A0
2024-12-13 16:14:01.860 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-13 16:14:02.301 MSK [7000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.433 сек., синхр.=0.004 сек., всего=0.442 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=15 kB; lsn=0/216E498, lsn redo=0/216E460
2024-12-13 16:19:01.306 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-13 16:19:01.742 MSK [7000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.428 сек., синхр.=0.004 сек., всего=0.436 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=14 kB; lsn=0/2170690, lsn redo=0/2170658
2024-12-13 16:24:01.746 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-13 16:24:01.856 MSK [7000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.001 сек., всего=0.111 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=13 kB; lsn=0/2171210, lsn redo=0/21711D8
2024-12-13 16:34:01.869 MSK [7000] СООБЩЕНИЕ:  начата контрольная точка: time
