2024-11-27 12:07:25.991 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 12:07:26.101 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.002 сек., всего=0.110 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=9 kB; lsn=0/20C4988, lsn redo=0/20C4950
2024-11-27 12:12:25.108 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 12:12:26.205 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.085 сек., синхр.=0.008 сек., всего=1.097 сек.; синхронизировано_файлов=11, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=19 kB, ожидалось=19 kB; lsn=0/20C96F8, lsn redo=0/20C96C0
2024-11-27 12:17:25.209 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 12:17:25.758 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.541 сек., синхр.=0.004 сек., всего=0.550 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=12 kB, ожидалось=18 kB; lsn=0/20CC998, lsn redo=0/20CC960
2024-11-27 12:43:23.388 MSK [44924] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-11-27 12:43:23.388 MSK [26088] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-11-27 12:47:25.816 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 12:47:25.928 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=16 kB; lsn=0/20CD070, lsn redo=0/20CD038
