2024-11-26 15:46:26.821 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 15:46:27.147 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.319 сек., синхр.=0.003 сек., всего=0.327 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=15 kB; lsn=0/209F368, lsn redo=0/209F330
2024-11-26 15:51:26.161 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 15:51:26.493 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.003 сек., всего=0.333 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=14 kB; lsn=0/20A0CC8, lsn redo=0/20A0C90
2024-11-26 16:26:26.536 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 16:26:26.648 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.106 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=13 kB; lsn=0/20A2320, lsn redo=0/20A22E8
2024-11-26 16:38:03.813 MSK [30412] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-11-26 16:38:03.813 MSK [30412] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-11-26 16:38:03.960 MSK [3244] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-11-26 16:38:03.960 MSK [3244] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-11-26 17:31:26.724 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:31:27.052 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.321 сек., синхр.=0.003 сек., всего=0.329 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=12 kB; lsn=0/20A3C88, lsn redo=0/20A3C50
2024-11-26 17:36:26.053 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:36:26.164 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.002 сек., всего=0.111 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=12 kB; lsn=0/20A5428, lsn redo=0/20A53F0
2024-11-26 17:51:26.193 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:51:26.521 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.320 сек., синхр.=0.003 сек., всего=0.328 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=11 kB; lsn=0/20A6ED0, lsn redo=0/20A6E98
2024-11-26 19:41:26.668 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
